,Timestamp,Wat is je vooropleiding?,Waar woon je nu?,"Ik heb voor deze studie gekozen, omdat...",Kies de TV-/internetserie die jou het meest aanspreekt.,Kies de hobby die jou het meest aanspreekt.,Star...?,Hoe zou jij HBO-ICT het liefst willen toepassen?,Kies de computergame die jou het meest aanspreekt.,Kies de superheld die jou het meest aanspreekt.,"Als je een huisdier zou mogen kiezen, welke zou dat dan zijn?",Kies het Operating System dat jou het meest aanspreekt.,Ik had mijn huiswerk goed voorbereid.,Als je voor opdracht A hebt gekozen: Had je pen en papier meegenomen?,Welke opdracht heb je gekozen? ,Ik denk dat ik Python vaak zou willen gebruiken.,Ik vond de opdrachten onnodig complex.,Ik vond Python makkelijk te programmeren,Ik denk dat ik veel hulp van een docent/studentassistent nodig zal hebben als ik Python ga programmeren.,De opdrachten vertoonden veel samenhang.,De opdrachten waren inconsistent.,Ik kan me voorstellen dat de meeste mensen snel leren programmeren in Python ,Ik vond de opdrachten erg lastig,Ik voelde me erg zelfverzekerd tijdens het maken van de opdrachten,Ik moest eerst veel leren voordat ik de opdrachten kon maken.
10,4/7/2015 14:22:02,Havo,Noord-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,5,2,3,3,2,2,3,2,5,2
11,4/7/2015 14:22:07,MBO,Noord-Brabant,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Iron man,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,1,5,5,5,5,3,1,1,5,1
12,4/7/2015 14:22:07,Havo,Zuid-Holland,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Iron man,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,5,2,4,2,3,3,5,3,4,4
13,4/7/2015 14:22:10,MBO,Flevoland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Star Trek,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Iron man,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,5,3,3,4,2,4,4,3,5,1
14,4/7/2015 14:22:10,Havo,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Deadpool,Mewtwo,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,4,3,3,3,2,2,3,4,3,3
15,4/7/2015 14:22:13,Havo,Noord-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Starbucks,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Iron man,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht C,4,3,3,3,3,3,2,3,3,3
16,4/7/2015 14:22:25,Ik heb de 21+ toets gedaan,Gelderland,...deze mij het leukst leek.,Game of Thrones,Gamen,Star Trek,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Deadpool,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht C,3,4,3,2,4,1,2,2,4,2
17,4/7/2015 14:22:26,Havo,Utrecht,...deze mij het leukst leek.,Naruto,Gamen,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",World of Warcraft / League of Legends,Iron man,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht C,3,2,3,2,3,3,3,2,3,3
18,4/7/2015 14:22:51,MBO,Utrecht,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Stark Industries,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Grand Theft Auto,Iron man,Hond,Windows,4,Ja,Opdracht A,2,1,3,3,4,2,4,2,4,2
19,4/7/2015 14:24:02,MBO,Gelderland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Call of Duty / Battlefield,Superman,Hond,OS X,3,Nee,Opdracht A,1,3,2,4,4,4,3,1,4,3
20,4/7/2015 14:24:11,Havo,Gelderland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Batman,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,4,3,3,3,3,3,5,3,4,3
21,4/7/2015 14:24:15,MBO,Zuid-Holland,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Iron man,Mewtwo,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,3,3,4,4,4,2,3,3
22,4/7/2015 14:24:17,"21+ gedaan, Duits HAVO.",Utrecht,...deze mij het meest werd geadviseerd.,The Walking Dead,Stappen / uitgaan,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Superman,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,4,1,5,2,4,2,5,1,4,2
23,4/7/2015 14:24:21,MBO,Noord-Brabant,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht D,2,3,1,4,3,3,1,3,5,2
24,4/7/2015 14:25:03,Havo,Gelderland,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Star Wars,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Pokémon,Batman,Mewtwo,Linux,5,Ik heb niet voor opdracht A gekozen,Opdracht C,5,1,5,1,3,3,5,1,5,1
25,4/7/2015 14:25:11,MBO,Noord-Brabant,...deze mij het leukst leek.,The Big Bang Theory,Denk- en puzzelsport,Star Trek,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Iron man,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,4,3,4,2,3,3,3,2,4,1
26,4/7/2015 14:25:35,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Iron man,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht C,5,3,4,2,3,1,5,2,5,2
27,4/7/2015 14:25:40,Havo,Zuid-Holland,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Grand Theft Auto,Iron man,Rancor,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht C,5,2,3,3,3,4,4,2,4,2
28,4/7/2015 14:25:48,MBO,Flevoland,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Pokémon,Iron man,Kat,OS X,5,Ja,Opdracht A,2,2,4,3,2,4,3,2,3,2
29,4/7/2015 14:25:54,Havo,Gelderland,...deze mij het leukst leek.,Naruto,Gamen,Stark Industries,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,World of Warcraft / League of Legends,Iron man,Hond,Windows,4,Ja,Opdracht A,3,3,4,3,4,3,5,3,4,4
30,4/7/2015 14:25:57,MBO,Zuid-Holland,...deze mij het leukst leek.,Naruto,Gamen,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Pokémon,Batman,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,4,2,4,2,4,4,4,3,4,2
31,4/7/2015 14:26:05,MBO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Stappen / uitgaan,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Batman,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,3,2,4,3,4,3,4,2,4,2
32,4/7/2015 14:26:07,MBO,Noord-Brabant,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Actieve sport,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Pokémon,Iron man,Hond,Linux,4,Ik heb niet voor opdracht A gekozen,Opdracht D,3,1,5,2,4,3,3,1,5,2
33,4/7/2015 14:26:13,MBO,Noord-Brabant,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Star Trek,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht C,3,2,3,3,3,3,4,3,4,2
34,4/7/2015 14:26:17,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Star Trek,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Deadpool,Kat,Linux,4,Ik heb niet voor opdracht A gekozen,Opdracht B,2,3,2,4,4,2,4,3,4,4
35,4/7/2015 14:26:18,Havo,Noord-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Star Wars,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Batman,Kat,OS X,3,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,5,3,4,4,4,2,3,4
36,4/7/2015 14:26:24,MBO,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Star Trek,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,World of Warcraft / League of Legends,Iron man,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,3,1,5,1,4,1,5,1,5,1
37,4/7/2015 14:26:27,MBO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Actieve sport,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Superman,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,3,3,3,3,3,3,3,4,4,3
38,4/7/2015 14:26:30,MBO,Zuid-Holland,...deze mij het meest werd geadviseerd.,The Big Bang Theory,Gamen,Star Trek,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",World of Warcraft / League of Legends,Iron man,Kat,Windows,4,Ja,Opdracht B,4,4,4,4,4,4,4,4,4,4
39,4/7/2015 14:26:36,MBO,Noord-Brabant,...deze mij het leukst leek.,Game of Thrones,Gamen,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Pokémon,Batman,Mewtwo,Linux,1,Ik heb niet voor opdracht A gekozen,Opdracht D,1,1,2,3,3,3,1,1,5,1
40,4/7/2015 14:26:39,Havo,Gelderland,...deze mij het leukst leek.,The Big Bang Theory,Actieve sport,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Hond,Windows,4,Ja,Opdracht D,4,2,3,2,3,3,4,2,4,2
41,4/7/2015 14:26:41,Ik heb de 21+ toets gedaan,Noord-Holland,...deze mij het makkelijkst leek (ik ben goed met computers).,Game of Thrones,Stappen / uitgaan,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Iron man,Hond,Linux,5,Ik heb niet voor opdracht A gekozen,Opdracht D,3,3,4,3,4,3,3,2,4,2
42,4/7/2015 14:26:41,MBO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Stappen / uitgaan,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",World of Warcraft / League of Legends,Deadpool,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,3,1,5,1,4,1,4,1,4,1
43,4/7/2015 14:26:51,MBO,Noord-Holland,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Star Wars,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,World of Warcraft / League of Legends,Superman,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,4,1,3,1,3,3,3,2,4,1
44,4/7/2015 14:26:58,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Rancor,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,3,3,2,3,3,3,3,3,3,3
45,4/7/2015 14:26:58,Havo,Utrecht,...deze mij het meest werd geadviseerd.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Star Wars,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Call of Duty / Battlefield,Superman,Hond,Windows,4,Ja,Opdracht A,4,1,3,4,5,4,3,4,4,3
46,4/7/2015 14:27:02,MBO,Gelderland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Superman,Hond,Windows,5,Ja,Opdracht A,2,3,3,4,4,3,2,3,4,4
47,4/7/2015 14:27:04,Havo,Gelderland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Stark Industries,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Grand Theft Auto,Batman,Mewtwo,Windows,5,Nee,Opdracht B,3,4,3,5,4,5,3,3,4,4
48,4/7/2015 14:27:06,Havo,Gelderland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Pokémon,Iron man,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,3,3,4,4,4,3,5,4
49,4/7/2015 14:27:17,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Iron man,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,4,4,3,4,4,2,4,2,3,2
50,4/7/2015 14:27:20,VWO,Zuid-Holland,...deze mij het leukst leek.,Game of Thrones,Gamen,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Deadpool,Hond,OS X,5,Ik heb niet voor opdracht A gekozen,Opdracht B,4,2,3,1,3,3,4,1,5,2
51,4/7/2015 14:27:26,Havo,Gelderland,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,World of Warcraft / League of Legends,Deadpool,Mewtwo,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht C,3,1,5,2,3,3,5,1,5,1
52,4/7/2015 14:27:27,Havo,Overijssel,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Actieve sport,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Superman,Hond,OS X,4,Ja,Opdracht B,3,4,1,3,4,5,5,4,4,4
53,4/7/2015 14:27:28,MBO,Overijssel,...deze mij het leukst leek.,Game of Thrones,Gamen,Star Trek,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Superman,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht C,3,2,2,5,4,2,3,4,1,4
54,4/7/2015 14:27:29,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Iron man,Rancor,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,5,4,3,4,4,4,5,4,2,5
55,4/7/2015 14:27:31,Havo,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Stark Industries,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Grand Theft Auto,Iron man,Hond,Windows,3,Ja,Opdracht A,4,3,2,4,4,4,4,4,4,3
56,4/7/2015 14:27:36,MBO,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,TV kijken,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Angry Birds / Flappy Bird,Iron man,Hond,Windows,1,Ik heb niet voor opdracht A gekozen,Opdracht B,5,5,5,5,5,5,5,5,5,5
57,4/7/2015 14:27:37,Havo,Gelderland,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Starbucks,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Call of Duty / Battlefield,Batman,Hond,OS X,4,Ja,Opdracht A,4,1,4,2,5,3,5,1,5,1
58,4/7/2015 14:27:38,MBO,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Iron man,Kat,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht B,5,3,4,3,3,3,3,4,4,4
59,4/7/2015 14:27:39,Havo,Noord-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Batman,Hond,OS X,5,Ik heb niet voor opdracht A gekozen,Opdracht B,3,3,3,3,4,4,4,3,4,3
60,4/7/2015 14:27:44,MBO,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Superman,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,2,2,3,3,4,2,4,2,3,3
61,4/7/2015 14:27:44,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Starbucks,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Pokémon,Iron man,Hond,Windows,2,Ja,Opdracht A,1,2,3,3,3,3,3,3,3,3
62,4/7/2015 14:27:52,MBO,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,TV kijken,Star Wars,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Superman,Hond,OS X,4,Ik heb niet voor opdracht A gekozen,Opdracht B,4,3,3,3,3,4,3,3,4,3
63,4/7/2015 14:27:52,Havo,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Deadpool,Mewtwo,Windows,5,Ja,Opdracht A,4,2,3,3,4,4,4,2,4,3
64,4/7/2015 14:27:52,VWO,Utrecht,...deze mij het meeste kans op een baan geeft.,Naruto,Actieve sport,Starbucks,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,World of Warcraft / League of Legends,Iron man,Mewtwo,Windows,3,Nee,Opdracht C,3,2,4,2,3,3,3,2,4,2
65,4/7/2015 14:27:53,MBO,Gelderland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Batman,Kat,Windows,4,Ja,Opdracht A,5,3,1,5,4,4,5,3,3,5
66,4/7/2015 14:27:54,Havo,Utrecht,...deze mij het leukst leek.,Naruto,Gamen,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Batman,Mewtwo,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht C,5,3,4,3,4,3,4,2,4,3
